distributor,Rubber,Brass,Vinyl,Granite,Stone,Brick,Aluminum,Glass,Plexiglass,Steel,Wood,Plastic
325,"$25.138.331,00","$38.634.366,00","$35.724.628,00","$21.355.595,00","$42.958.842,00","$27.048.824,00","$32.985.225,00","$33.904.151,00","$38.767.257,00","$31.216.833,00","$24.977.157,00","$39.193.942,00"
234,"$37.817.347,00","$23.272.550,00","$36.228.786,00","$40.908.298,00","$44.287.587,00","$20.840.169,00","$36.762.686,00","$36.281.329,00","$38.468.791,00","$43.018.836,00","$33.523.160,00","$32.565.915,00"
"1,169","$38.180.046,00","$28.960.197,00","$38.400.970,00","$23.646.886,00","$39.383.770,00","$122.710.022,00","$39.875.739,00","$29.282.534,00","$38.309.291,00","$40.723.171,00","$27.897.700,00","$23.071.801,00"
"1,062","$21.870.115,00","$29.728.962,00","$29.018.088,00","$21.585.132,00","$44.760.537,00","$37.955.177,00","$28.714.842,00","$31.884.090,00","$38.263.916,00","$38.093.914,00","$21.488.833,00","$29.752.368,00"
583,"$28.415.088,00","$38.304.440,00","$32.154.709,00","$23.047.802,00","$23.121.310,00","$39.288.035,00","$22.141.394,00","$29.376.999,00","$37.586.469,00","$25.094.383,00","$35.354.635,00","$31.444.799,00"
565,"$23.507.965,00","$41.845.467,00","$42.055.834,00","$35.453.957,00","$27.278.926,00","$28.907.442,00","$34.052.900,00","$29.536.682,00","$36.946.229,00","$22.252.637,00","$37.325.174,00","$43.221.645,00"
846,"$33.377.107,00","$29.404.830,00","$37.302.875,00","$38.573.860,00","$27.524.149,00","$29.226.121,00","$42.965.132,00","$31.745.917,00","$36.561.630,00","$29.790.999,00","$44.049.215,00","$43.182.211,00"
504,"$40.875.271,00","$22.374.529,00","$20.935.764,00","$31.145.028,00","$25.311.142,00","$42.786.006,00","$25.934.382,00","$26.856.470,00","$36.131.290,00","$21.507.307,00","$35.805.168,00","$36.939.916,00"
"1,169","$38.180.046,00","$28.960.197,00","$38.400.970,00","$23.646.886,00","$39.383.770,00","$122.710.022,00","$39.875.739,00","$29.282.534,00","$38.309.291,00","$40.723.171,00","$27.897.700,00","$23.071.801,00"
"1,463","$30.129.379,00","$36.728.723,00","$32.550.897,00","$20.871.609,00","$44.756.568,00","$1.643.078.851,00","$34.134.175,00","$21.672.939,00","$35.982.452,00","$37.266.730,00","$39.417.797,00","$43.748.858,00"
707,"$31.142.709,00","$28.352.801,00","$28.274.723,00","$43.010.066,00","$44.667.972,00","$40.622.140,00","$31.505.354,00","$25.344.685,00","$35.687.548,00","$38.217.633,00","$33.536.894,00","$26.092.122,00"
818,"$22.957.310,00","$24.387.893,00","$41.579.620,00","$26.804.859,00","$37.698.018,00","$25.843.761,00","$30.924.443,00","$27.838.729,00","$35.205.672,00","$23.094.699,00","$31.250.782,00","$44.182.750,00"
"1,599","$28.135.181,00","$23.695.417,00","$32.743.214,00","$23.511.170,00","$29.707.140,00","$38.298.798,00","$29.378.520,00","$34.091.594,00","$35.047.076,00","$44.569.607,00","$41.657.725,00","$36.287.528,00"
"1,384","$34.544.298,00","$27.882.865,00","$22.664.200,00","$21.057.646,00","$22.595.798,00","$39.745.929,00","$31.984.425,00","$33.608.261,00","$34.756.222,00","$33.507.580,00","$40.295.304,00","$44.082.470,00"
"1,723","$28.318.181,00","$23.132.460,00","$29.998.057,00","$42.240.878,00","$25.721.016,00","$20.894.738,00","$40.671.768,00","$44.403.938,00","$34.600.225,00","$37.623.142,00","$36.567.514,00","$36.408.232,00"
"1,235","$37.794.819,00","$26.812.043,00","$25.270.289,00","$28.139.664,00","$26.173.115,00","$43.607.672,00","$43.718.631,00","$27.250.266,00","$34.489.003,00","$38.126.241,00","$43.773.286,00","$34.530.362,00"
378,"$35.622.161,00","$22.845.538,00","$31.984.270,00","$32.821.654,00","$31.742.905,00","$36.952.951,00","$32.453.436,00","$33.975.565,00","$34.220.431,00","$30.282.405,00","$26.900.859,00","$28.688.697,00"
"1,418","$42.018.216,00","$21.936.967,00","$36.106.133,00","$29.906.692,00","$25.729.289,00","$36.214.594,00","$44.207.777,00","$28.603.420,00","$33.535.143,00","$43.602.902,00","$41.367.169,00","$39.376.157,00"
"1,017","$34.349.322,00","$20.737.841,00","$26.603.366,00","$32.141.549,00","$31.818.580,00","$124.353.986,00","$35.732.931,00","$40.238.444,00","$33.413.580,00","$36.931.053,00","$24.118.597,00","$31.352.193,00"
808,"$44.229.593,00","$42.500.506,00","$33.478.392,00","$37.522.478,00","$32.650.463,00","$29.599.618,00","$34.120.715,00","$44.676.489,00","$31.464.726,00","$22.406.298,00","$24.137.737,00","$40.149.310,00"
"1,489","$41.444.583,00","$23.735.516,00","$29.708.711,00","$45.198.396,00","$26.911.979,00","$27.704.919,00","$32.220.459,00","$43.944.535,00","$31.332.098,00","$30.902.218,00","$40.867.984,00","$31.750.927,00"
"1,104","$41.387.139,00","$32.973.505,00","$38.520.126,00","$37.505.722,00","$32.781.557,00","$159.624.598,00","$23.844.317,00","$40.207.992,00","$30.348.204,00","$23.403.906,00","$24.105.697,00","$29.944.226,00"
"1,055","$35.858.240,00","$22.072.249,00","$21.646.802,00","$39.650.737,00","$40.985.840,00","$25.023.137,00","$43.022.733,00","$29.624.708,00","$30.134.138,00","$31.000.153,00","$38.597.627,00","$39.560.888,00"
"1,56","$37.489.497,00","$22.875.902,00","$34.374.638,00","$23.295.485,00","$33.803.575,00","$925.835.590,00","$42.627.612,00","$38.176.198,00","$29.939.852,00","$21.114.989,00","$27.350.520,00","$36.592.084,00"
161,"$20.607.246,00","$23.005.062,00","$27.506.653,00","$26.062.955,00","$27.696.836,00","$37.419.941,00","$26.762.715,00","$29.284.702,00","$28.555.900,00","$41.513.222,00","$21.235.663,00","$33.837.849,00"
815,"$32.853.600,00","$43.936.493,00","$31.944.768,00","$23.457.213,00","$30.668.319,00","$940.975.527,00","$21.908.767,00","$41.517.336,00","$27.885.029,00","$38.995.644,00","$32.306.240,00","$37.591.248,00"
723,"$29.585.885,00","$42.849.169,00","$30.521.280,00","$21.745.658,00","$32.580.700,00","$45.204.963,00","$27.528.292,00","$36.931.432,00","$26.222.974,00","$25.364.217,00","$22.839.054,00","$21.428.986,00"
29,"$43.576.523,00","$30.181.558,00","$32.773.382,00","$36.669.396,00","$45.128.426,00","$34.340.349,00","$34.807.596,00","$25.353.918,00","$25.457.647,00","$44.468.552,00","$25.352.005,00","$30.959.741,00"
379,"$42.160.913,00","$41.409.478,00","$37.110.518,00","$25.210.663,00","$28.016.394,00","$43.238.079,00","$42.829.565,00","$25.437.130,00","$24.599.993,00","$32.970.603,00","$20.900.243,00","$35.563.061,00"
"1,679","$27.799.295,00","$44.568.676,00","$26.843.228,00","$41.036.010,00","$38.237.752,00","$29.463.712,00","$27.749.526,00","$29.618.358,00","$24.513.873,00","$42.444.919,00","$43.855.583,00","$21.153.233,00"
325,"$25.138.331,00","$38.634.366,00","$35.724.628,00","$21.355.595,00","$42.958.842,00","$27.048.824,00","$32.985.225,00","$33.904.151,00","$38.767.257,00","$31.216.833,00","$24.977.157,00","$39.193.942,00"
619,"$41.761.417,00","$33.709.306,00","$27.497.587,00","$28.311.310,00","$21.683.294,00","$26.276.785,00","$32.530.973,00","$21.500.385,00","$23.197.054,00","$43.835.851,00","$29.355.739,00","$43.689.411,00"
715,"$20.880.116,00","$37.111.825,00","$34.422.161,00","$40.759.561,00","$26.050.968,00","$21.080.855,00","$21.443.932,00","$22.394.142,00","$23.084.319,00","$26.861.046,00","$23.181.358,00","$22.709.805,00"
"1,302","$34.050.845,00","$30.151.961,00","$26.956.027,00","$45.003.866,00","$23.879.569,00","$27.287.921,00","$44.733.537,00","$21.113.491,00","$22.884.480,00","$26.530.501,00","$40.810.028,00","$27.286.530,00"
"1,093","$35.580.430,00","$39.978.595,00","$32.046.855,00","$30.147.636,00","$36.212.747,00","$33.365.715,00","$35.482.192,00","$26.604.405,00","$21.395.275,00","$31.214.082,00","$32.655.598,00","$20.684.792,00"
